tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications	Z	Archilochus_colubris
Unclassified	305859	923	0.0237774597868791	12863401	45	W	Molothrus_aeneus
DNA	59726	381	0.00085191782283661	70107701	48	Z	Molothrus_ater
LINE	4161512	10188	0.0593588427610827	70107701	80	Z	Molothrus_ater
LTR	2992638	4841	0.0426862949050348	70107701	105	Z	Molothrus_ater
Other (Simple Repeat, Microsatellite, RNA)	1186448	19975	0.0169232193193726	70107701	2715	Z	Molothrus_ater
Penelope	2321	10	0.0000331062061213503	70107701	1	Z	Molothrus_ater
Rolling Circle	531	2	0.00000757406094374711	70107701	1	Z	Molothrus_ater
SINE	16536	125	0.000235865671875334	70107701	3	Z	Molothrus_ater
Unclassified	347667	918	0.00495904151813508	70107701	42	Z	Molothrus_ater
DNA	980	6	0.0000832400421976051	11773180	6	W	Molothrus_ater
LINE	558702	1062	0.0474554878121289	11773180	27	W	Molothrus_ater
LTR	8105937	8730	0.688508712174621	11773180	311	W	Molothrus_ater
Other (Simple Repeat, Microsatellite, RNA)	80829	977	0.00686551976611247	11773180	353	W	Molothrus_ater
SINE	985	7	0.00008366473629045	11773180	2	W	Molothrus_ater
Unclassified	555206	1227	0.0471585417024118	11773180	53	W	Molothrus_ater
DNA	146288	534	0.00189837496154924	77059592	54	Z	Geothlypis_trichas
LINE	4574716	10826	0.0593659514833663	77059592	99	Z	Geothlypis_trichas
LTR	3558561	5568	0.0461793387123046	77059592	123	Z	Geothlypis_trichas
Other (Simple Repeat, Microsatellite, RNA)	33138	25	0.000430030826013198	77059592	2	Z	Geothlypis_trichas
Penelope	2131	10	0.0000276539226940106	77059592	1	Z	Geothlypis_trichas
Rolling Circle	529	2	0.0000068648170366643	77059592	1	Z	Geothlypis_trichas
SINE	15605	119	0.000202505614096685	77059592	3	Z	Geothlypis_trichas
Unclassified	604193	1390	0.0078405943286074	77059592	59	Z	Geothlypis_trichas
DNA	732	6	0.0000399693939280266	18314013	6	W	Geothlypis_trichas
LINE	942472	1707	0.051461795948272	18314013	36	W	Geothlypis_trichas
LTR	9852505	11241	0.537976302626846	18314013	367	W	Geothlypis_trichas
Other (Simple Repeat, Microsatellite, RNA)	16456	40	0.000898546921420226	18314013	4	W	Geothlypis_trichas
Rolling Circle	57975	26	0.00316560876089801	18314013	1	W	Geothlypis_trichas
SINE	963	7	0.0000525826862741661	18314013	2	W	Geothlypis_trichas
Unclassified	1148185	2156	0.062694342304988	18314013	72	W	Geothlypis_trichas
DNA	61714	401	0.000739739550882176	83426660	49	Z	Melospiza_georgiana
LINE	6839951	11404	0.0819875924554573	83426660	96	Z	Melospiza_georgiana
LTR	6720379	6199	0.0805543335907251	83426660	120	Z	Melospiza_georgiana
Other (Simple Repeat, Microsatellite, RNA)	806	9	0.00000966118025101328	83426660	1	Z	Melospiza_georgiana
Penelope	1835	9	0.0000219953669486469	83426660	1	Z	Melospiza_georgiana
Rolling Circle	258	2	0.00000309253660640376	83426660	1	Z	Melospiza_georgiana
SINE	16059	120	0.000192492423884643	83426660	3	Z	Melospiza_georgiana
Unclassified	2379129	1681	0.0285176105575843	83426660	59	Z	Melospiza_georgiana
DNA	60102	393	0.000726100426567993	82773674	49	Z	Melospiza_melodia
LINE	8509836	11320	0.102808484736343	82773674	100	Z	Melospiza_melodia
LTR	5330311	6078	0.0643962112881446	82773674	129	Z	Melospiza_melodia
Other (Simple Repeat, Microsatellite, RNA)	352744	52	0.00426154818257795	82773674	2	Z	Melospiza_melodia
Penelope	1895	9	0.0000228937524266471	82773674	1	Z	Melospiza_melodia
Rolling Circle	531	2	0.00000641508313379928	82773674	1	Z	Melospiza_melodia
SINE	17088	125	0.000206442449322716	82773674	3	Z	Melospiza_melodia
Unclassified	1326108	1632	0.0160208908934017	82773674	70	Z	Melospiza_melodia
DNA	60090	389	0.000739669589139085	81238976	49	Z	Passerculus_sandwichensis
LINE	6895405	11444	0.0848780393292993	81238976	96	Z	Passerculus_sandwichensis
LTR	5220551	6027	0.0642616544058852	81238976	129	Z	Passerculus_sandwichensis
Other (Simple Repeat, Microsatellite, RNA)	24359	30	0.000299843759724396	81238976	2	Z	Passerculus_sandwichensis
Penelope	1845	9	0.0000227107737054687	81238976	1	Z	Passerculus_sandwichensis
Rolling Circle	291	2	0.00000358202447061863	81238976	1	Z	Passerculus_sandwichensis
SINE	17222	125	0.000211991839975925	81238976	3	Z	Passerculus_sandwichensis
Unclassified	943618	1645	0.0116153359687842	81238976	60	Z	Passerculus_sandwichensis
DNA	59916	387	0.000792220069945326	75630500	52	Z	Serinus_canaria
LINE	4425986	10538	0.0585211786250256	75630500	90	Z	Serinus_canaria
LTR	3419760	5650	0.0452166784564428	75630500	111	Z	Serinus_canaria
Other (Simple Repeat, Microsatellite, RNA)	1251957	21923	0.0165535994076464	75630500	2786	Z	Serinus_canaria
Penelope	1883	9	0.0000248973628364218	75630500	1	Z	Serinus_canaria
Rolling Circle	538	2	0.00000711353223897766	75630500	1	Z	Serinus_canaria
SINE	15521	115	0.000205221438440841	75630500	3	Z	Serinus_canaria
Unclassified	605707	1225	0.00800876630459933	75630500	53	Z	Serinus_canaria
DNA	819	7	0.000043521724833443	18818188	4	W	Serinus_canaria
LINE	1132920	2199	0.060203458483888	18818188	42	W	Serinus_canaria
LTR	13002450	14854	0.690951222296217	18818188	469	W	Serinus_canaria
Other (Simple Repeat, Microsatellite, RNA)	326716	1511	0.0173617141033983	18818188	442	W	Serinus_canaria
SINE	812	6	0.0000431497442793111	18818188	2	W	Serinus_canaria
Unclassified	1002824	2516	0.0532901467452658	18818188	90	W	Serinus_canaria
DNA	57255	363	0.000759388645917533	75396176	50	Z	Taeniopygia_guttata
LINE	4109470	10489	0.0545050189282809	75396176	78	Z	Taeniopygia_guttata
LTR	4417214	6420	0.0585867113472704	75396176	107	Z	Taeniopygia_guttata
Other (Simple Repeat, Microsatellite, RNA)	12920	28	0.000171361475945411	75396176	2	Z	Taeniopygia_guttata
Penelope	1823	10	0.000024178945096632	75396176	1	Z	Taeniopygia_guttata
Rolling Circle	552	2	0.00000732132621686278	75396176	1	Z	Taeniopygia_guttata
SINE	15604	117	0.000206960098347693	75396176	3	Z	Taeniopygia_guttata
Unclassified	644491	1406	0.00854805951962338	75396176	62	Z	Taeniopygia_guttata
DNA	495	4	0.0000237451139031527	20846394	3	W	Taeniopygia_guttata
LINE	833090	1223	0.0399632665486415	20846394	27	W	Taeniopygia_guttata
LTR	15486992	12666	0.742909876883263	20846394	331	W	Taeniopygia_guttata
Other (Simple Repeat, Microsatellite, RNA)	34328	61	0.00164671165670187	20846394	4	W	Taeniopygia_guttata
SINE	268	3	0.0000128559404566564	20846394	2	W	Taeniopygia_guttata
Unclassified	493413	942	0.0236689856288814	20846394	38	W	Taeniopygia_guttata
DNA	63468	416	0.000839959232835116	75560810	53	Z	Lamprotornis_superbus
LINE	4189290	10744	0.0554426295853631	75560810	89	Z	Lamprotornis_superbus
LTR	3168286	6025	0.0419302810544249	75560810	127	Z	Lamprotornis_superbus
Other (Simple Repeat, Microsatellite, RNA)	1013	4	0.0000134064206034848	75560810	2	Z	Lamprotornis_superbus
Penelope	1949	10	0.0000257937944286198	75560810	1	Z	Lamprotornis_superbus
Rolling Circle	299	2	0.00000395707774969591	75560810	1	Z	Lamprotornis_superbus
SINE	17210	132	0.000227763572148049	75560810	3	Z	Lamprotornis_superbus
Unclassified	294115	772	0.00389242783395255	75560810	41	Z	Lamprotornis_superbus
DNA	711	5	0.0000485421382627568	14647068	5	W	Lamprotornis_superbus
LINE	863117	1701	0.0589276297481516	14647068	42	W	Lamprotornis_superbus
LTR	6871599	10278	0.469145019330831	14647068	370	W	Lamprotornis_superbus
Other (Simple Repeat, Microsatellite, RNA)	14827	47	0.00101228450635991	14647068	4	W	Lamprotornis_superbus
SINE	399	4	0.0000272409467888044	14647068	2	W	Lamprotornis_superbus
Unclassified	388709	1040	0.026538348835412	14647068	50	W	Lamprotornis_superbus
DNA	913364	2954	0.013341167549204	68462074	64	Z	Catharus_ustulatus
LINE	3486386	8682	0.0509243409716159	68462074	70	Z	Catharus_ustulatus
LTR	3483713	5655	0.050885297456808	68462074	90	Z	Catharus_ustulatus
Other (Simple Repeat, Microsatellite, RNA)	792472	1443	0.0115753431600684	68462074	10	Z	Catharus_ustulatus
Penelope	1749	8	0.0000255469911706151	68462074	1	Z	Catharus_ustulatus
Rolling Circle	364	1	0.00000531681234196907	68462074	1	Z	Catharus_ustulatus
SINE	13779	107	0.00020126471774723	68462074	3	Z	Catharus_ustulatus
Unclassified	1867609	4864	0.0272794686295948	68462074	49	Z	Catharus_ustulatus
DNA	570221	1431	0.0464145472257544	12285394	12	W	Catharus_ustulatus
LINE	606233	1073	0.049345832946017	12285394	29	W	Catharus_ustulatus
LTR	7207943	7620	0.586708330233446	12285394	271	W	Catharus_ustulatus
Other (Simple Repeat, Microsatellite, RNA)	418477	666	0.0340629694090397	12285394	12	W	Catharus_ustulatus
SINE	314	3	0.0000255588058470082	12285394	2	W	Catharus_ustulatus
Unclassified	735914	1977	0.0599015383633606	12285394	37	W	Catharus_ustulatus
DNA	76135	481	0.000978396840971402	77816073	51	Z	Corvus_moneduloides
LINE	4618726	11357	0.0593543958457014	77816073	88	Z	Corvus_moneduloides
LTR	4331292	6002	0.0556606345324057	77816073	97	Z	Corvus_moneduloides
Other (Simple Repeat, Microsatellite, RNA)	1814	3	0.000023311379385593	77816073	1	Z	Corvus_moneduloides
Penelope	2439	13	0.0000313431390967262	77816073	1	Z	Corvus_moneduloides
Rolling Circle	338	2	0.00000434357565178083	77816073	1	Z	Corvus_moneduloides
SINE	18576	134	0.000238716749430417	77816073	3	Z	Corvus_moneduloides
Unclassified	946992	1702	0.0121696195077847	77816073	64	Z	Corvus_moneduloides
DNA	563	5	0.0000265517104937312	21203907	5	W	Corvus_moneduloides
LINE	733300	1400	0.0345832492096857	21203907	26	W	Corvus_moneduloides
LTR	15629673	12764	0.737112882074044	21203907	298	W	Corvus_moneduloides
Other (Simple Repeat, Microsatellite, RNA)	21962	10	0.00103575251485493	21203907	3	W	Corvus_moneduloides
SINE	587	5	0.0000276835773709062	21203907	2	W	Corvus_moneduloides
Unclassified	327144	800	0.015428477402773	21203907	37	W	Corvus_moneduloides
DNA	69989	463	0.000934624929816998	74884585	55	Z	Lichenostomus_melanops
LINE	4244193	10534	0.0566764575112488	74884585	73	Z	Lichenostomus_melanops
LTR	3053699	4715	0.0407787397099149	74884585	85	Z	Lichenostomus_melanops
Other (Simple Repeat, Microsatellite, RNA)	57118	256	0.000762747099419727	74884585	4	Z	Lichenostomus_melanops
Penelope	2091	11	0.0000279229697273478	74884585	1	Z	Lichenostomus_melanops
Rolling Circle	627	4	0.00000837288475325062	74884585	1	Z	Lichenostomus_melanops
SINE	19445	145	0.000259666258416201	74884585	3	Z	Lichenostomus_melanops
Unclassified	814275	1932	0.0108737332256031	74884585	70	Z	Lichenostomus_melanops
DNA	1802	14	0.0000746291867460387	24146049	8	W	Lichenostomus_melanops
LINE	1249324	2409	0.0517403074929567	24146049	51	W	Lichenostomus_melanops
LTR	17120167	16868	0.709025604975787	24146049	363	W	Lichenostomus_melanops
Other (Simple Repeat, Microsatellite, RNA)	29855	70	0.0012364341677597	24146049	6	W	Lichenostomus_melanops
SINE	1195	9	0.0000494904984248148	24146049	2	W	Lichenostomus_melanops
Unclassified	1837982	3668	0.0761193684316635	24146049	111	W	Lichenostomus_melanops
DNA	74250	474	0.000985248579609916	75361692	51	Z	Chiroxiphia_lanceolata
LINE	6108406	13217	0.0810545230327366	75361692	83	Z	Chiroxiphia_lanceolata
LTR	2223739	3841	0.0295075513962717	75361692	66	Z	Chiroxiphia_lanceolata
Other (Simple Repeat, Microsatellite, RNA)	39461	369	0.000523621470706894	75361692	2	Z	Chiroxiphia_lanceolata
Penelope	2402	11	0.000031872957417145	75361692	1	Z	Chiroxiphia_lanceolata
Rolling Circle	384	3	0.00000509542699757856	75361692	1	Z	Chiroxiphia_lanceolata
SINE	21774	155	0.000288926633972072	75361692	3	Z	Chiroxiphia_lanceolata
Unclassified	1364706	2625	0.01810874946916	75361692	88	Z	Chiroxiphia_lanceolata
DNA	1780	15	0.000110601488174091	16093816	10	W	Chiroxiphia_lanceolata
LINE	2061703	2913	0.128105292119656	16093816	54	W	Chiroxiphia_lanceolata
LTR	6880989	6284	0.427554844668287	16093816	209	W	Chiroxiphia_lanceolata
Other (Simple Repeat, Microsatellite, RNA)	282694	238	0.0175653803920711	16093816	7	W	Chiroxiphia_lanceolata
SINE	690	6	0.0000428736105843387	16093816	3	W	Chiroxiphia_lanceolata
Unclassified	1625966	3076	0.101030482764311	16093816	114	W	Chiroxiphia_lanceolata
DNA	71510	460	0.000953325599899897	75011098	54	Z	Pseudopipra_pipra
LINE	5983856	12946	0.0797729423984702	75011098	91	Z	Pseudopipra_pipra
LTR	2171151	3681	0.0289443970010944	75011098	73	Z	Pseudopipra_pipra
Other (Simple Repeat, Microsatellite, RNA)	3296	8	0.0000439401646940297	75011098	1	Z	Pseudopipra_pipra
Penelope	2279	11	0.0000303821709155624	75011098	1	Z	Pseudopipra_pipra
Rolling Circle	81526	46	0.00108685250814486	75011098	2	Z	Pseudopipra_pipra
SINE	22292	163	0.000297182691553189	75011098	3	Z	Pseudopipra_pipra
Unclassified	1297286	2486	0.0172945875289014	75011098	93	Z	Pseudopipra_pipra
DNA	71494	460	0.000897481983953634	79660652	54	Z	Acanthisitta_chloris
LINE	8741428	18393	0.109733322293169	79660652	112	Z	Acanthisitta_chloris
LTR	3780890	5849	0.0474624536088407	79660652	82	Z	Acanthisitta_chloris
Penelope	2124	10	0.0000266631008744443	79660652	1	Z	Acanthisitta_chloris
Rolling Circle	121	1	0.00000151894312891137	79660652	1	Z	Acanthisitta_chloris
SINE	21018	150	0.000263844187466605	79660652	3	Z	Acanthisitta_chloris
Unclassified	698030	1743	0.00876254439895872	79660652	73	Z	Acanthisitta_chloris
DNA	1842	15	0.000208169700120359	8848550	11	W	Acanthisitta_chloris
LINE	1181424	2057	0.133516112809443	8848550	41	W	Acanthisitta_chloris
LTR	3898788	3538	0.44061320781371	8848550	75	W	Acanthisitta_chloris
Other (Simple Repeat, Microsatellite, RNA)	5712	9	0.000645529493532839	8848550	2	W	Acanthisitta_chloris
SINE	1076	8	0.000121601844369982	8848550	3	W	Acanthisitta_chloris
Unclassified	68799	419	0.00777517220335535	8848550	17	W	Acanthisitta_chloris
DNA	128022	813	0.00113818483336837	112479095	55	Z	Lathamus_discolor
LINE	15234048	20873	0.135438927562495	112479095	103	Z	Lathamus_discolor
LTR	3822211	6484	0.0339815234110836	112479095	47	Z	Lathamus_discolor
Penelope	12932	70	0.000114972475552013	112479095	2	Z	Lathamus_discolor
Rolling Circle	547	3	0.00000486312589908374	112479095	1	Z	Lathamus_discolor
SINE	33213	250	0.000295281536537967	112479095	3	Z	Lathamus_discolor
Unclassified	287090	832	0.0025523854010383	112479095	45	Z	Lathamus_discolor
DNA	130173	819	0.0010827182503663	120227954	56	Z	Amazona_ochrocephala
LINE	22193317	35091	0.184593651157035	120227954	137	Z	Amazona_ochrocephala
LTR	5350425	6829	0.0445023376177557	120227954	72	Z	Amazona_ochrocephala
Other (Simple Repeat, Microsatellite, RNA)	1031	9	0.00000857537673809204	120227954	1	Z	Amazona_ochrocephala
Penelope	3965	18	0.0000329790191721968	120227954	1	Z	Amazona_ochrocephala
Rolling Circle	838	4	0.00000697009282882748	120227954	1	Z	Amazona_ochrocephala
SINE	30336	233	0.000252320687416838	120227954	3	Z	Amazona_ochrocephala
Unclassified	304285	732	0.00253090059238636	120227954	44	Z	Amazona_ochrocephala
DNA	123603	788	0.00114334138348849	108106819	56	Z	Myiopsitta_monachus
LINE	9896972	20552	0.0915480826422244	108106819	82	Z	Myiopsitta_monachus
LTR	6126605	7702	0.0566717720183775	108106819	64	Z	Myiopsitta_monachus
Penelope	13228	54	0.000122360459056704	108106819	2	Z	Myiopsitta_monachus
Rolling Circle	903	5	0.00000835284960146686	108106819	1	Z	Myiopsitta_monachus
SINE	30557	239	0.000282655620456282	108106819	3	Z	Myiopsitta_monachus
Unclassified	319893	879	0.00295904553439871	108106819	50	Z	Myiopsitta_monachus
DNA	4298	32	0.000312476962276077	13754614	19	W	Myiopsitta_monachus
LINE	1726035	3040	0.125487709069844	13754614	31	W	Myiopsitta_monachus
LTR	6703418	7131	0.48735776954555	13754614	164	W	Myiopsitta_monachus
Other (Simple Repeat, Microsatellite, RNA)	65584	43	0.00476814543832346	13754614	2	W	Myiopsitta_monachus
Rolling Circle	183	1	0.000013304626360289	13754614	1	W	Myiopsitta_monachus
SINE	2199	17	0.000159873624952325	13754614	2	W	Myiopsitta_monachus
Unclassified	118944	497	0.00864757091693013	13754614	17	W	Myiopsitta_monachus
DNA	157352	971	0.00154464488731642	101869369	56	Z	Strigops_habroptila
LINE	6955765	16058	0.0682812220030537	101869369	70	Z	Strigops_habroptila
LTR	3112460	3238	0.030553443400636	101869369	29	Z	Strigops_habroptila
Other (Simple Repeat, Microsatellite, RNA)	59	1	0.000000579173117289065	101869369	1	Z	Strigops_habroptila
Penelope	14940	95	0.000146658413089807	101869369	2	Z	Strigops_habroptila
Rolling Circle	950	5	0.00000932566883770528	101869369	1	Z	Strigops_habroptila
SINE	39507	299	0.000387820209232866	101869369	3	Z	Strigops_habroptila
Unclassified	320765	1194	0.0031487875418174	101869369	48	Z	Strigops_habroptila
DNA	180115	379	0.00481259869214027	37425726	43	W	Strigops_habroptila
LINE	4619414	6520	0.123428841433831	37425726	68	W	Strigops_habroptila
LTR	13828136	10962	0.36948210436853	37425726	137	W	Strigops_habroptila
Other (Simple Repeat, Microsatellite, RNA)	64	2	0.00000171005366736239	37425726	1	W	Strigops_habroptila
Penelope	153	1	0.00000408809704853822	37425726	1	W	Strigops_habroptila
Rolling Circle	247	2	0.00000659973837247673	37425726	1	W	Strigops_habroptila
SINE	8847	76	0.000236388199924298	37425726	3	W	Strigops_habroptila
Unclassified	246204	422	0.00657846957998891	37425726	33	W	Strigops_habroptila
DNA	193192	1161	0.00223090659229942	86597978	57	Z	Falco_naumanni
LINE	4893932	9068	0.0565132363714081	86597978	75	Z	Falco_naumanni
LTR	2508794	3778	0.028970584047586	86597978	61	Z	Falco_naumanni
Other (Simple Repeat, Microsatellite, RNA)	1131031	24761	0.0130607091080117	86597978	2536	Z	Falco_naumanni
Penelope	2734	13	0.0000315711759459326	86597978	1	Z	Falco_naumanni
Rolling Circle	634	3	0.00000732118710670127	86597978	1	Z	Falco_naumanni
SINE	32745	241	0.000378126611686014	86597978	3	Z	Falco_naumanni
Unclassified	725313	1786	0.00837563435949971	86597978	69	Z	Falco_naumanni
DNA	158607	520	0.00535487062227839	29619203	41	W	Falco_naumanni
LINE	1791329	3242	0.0604786361064476	29619203	66	W	Falco_naumanni
LTR	11430632	8943	0.385919634637029	29619203	190	W	Falco_naumanni
Other (Simple Repeat, Microsatellite, RNA)	362635	4880	0.012243239630722	29619203	960	W	Falco_naumanni
Penelope	1444	5	0.0000487521558226938	29619203	1	W	Falco_naumanni
Rolling Circle	184	1	0.00000621218606050946	29619203	1	W	Falco_naumanni
SINE	7777	65	0.000262566146698816	29619203	3	W	Falco_naumanni
Unclassified	952120	1741	0.0321453619126754	29619203	76	W	Falco_naumanni
DNA	210982	1052	0.0025558466521567	82548771	59	Z	Falco_biarmicus
LINE	4472581	7941	0.0541810731500775	82548771	71	Z	Falco_biarmicus
LTR	2319445	3747	0.0280978744068764	82548771	53	Z	Falco_biarmicus
Other (Simple Repeat, Microsatellite, RNA)	991833	21789	0.0120151152825764	82548771	2505	Z	Falco_biarmicus
Penelope	58335	141	0.000706673149622058	82548771	2	Z	Falco_biarmicus
Rolling Circle	637	3	0.0000077166503181495	82548771	1	Z	Falco_biarmicus
SINE	27131	197	0.000328666310489347	82548771	3	Z	Falco_biarmicus
Unclassified	803219	1412	0.00973023571725859	82548771	68	Z	Falco_biarmicus
DNA	168229	526	0.00672302026896957	25022831	39	W	Falco_biarmicus
LINE	1897524	3242	0.075831707451487	25022831	66	W	Falco_biarmicus
LTR	8196113	8239	0.327545392445803	25022831	175	W	Falco_biarmicus
Other (Simple Repeat, Microsatellite, RNA)	953205	4168	0.0380934115728152	25022831	870	W	Falco_biarmicus
Penelope	1158	4	0.0000462777373191706	25022831	1	W	Falco_biarmicus
SINE	7966	61	0.000318349270712015	25022831	3	W	Falco_biarmicus
Unclassified	1133424	1757	0.0452955942515058	25022831	60	W	Falco_biarmicus
DNA	211887	1035	0.00246170478136083	86073278	57	Z	Falco_cherrug
LINE	4778214	8491	0.0555133266796229	86073278	76	Z	Falco_cherrug
LTR	2468274	3759	0.0286764261493561	86073278	50	Z	Falco_cherrug
Other (Simple Repeat, Microsatellite, RNA)	1053237	22996	0.0122365154955525	86073278	2571	Z	Falco_cherrug
Penelope	58833	138	0.000683522242524561	86073278	2	Z	Falco_cherrug
Rolling Circle	746	3	0.00000866703368727284	86073278	1	Z	Falco_cherrug
SINE	30727	226	0.000356986520253127	86073278	3	Z	Falco_cherrug
Unclassified	871393	1984	0.0101238505172302	86073278	70	Z	Falco_cherrug
DNA	66827	195	0.00361912430481857	18464964	23	W	Falco_cherrug
LINE	2182230	1859	0.118182196293478	18464964	57	W	Falco_cherrug
LTR	4509093	3786	0.244197226704585	18464964	109	W	Falco_cherrug
Other (Simple Repeat, Microsatellite, RNA)	5017505	2114	0.271731101127519	18464964	468	W	Falco_cherrug
SINE	2810	26	0.000152180096316462	18464964	3	W	Falco_cherrug
Unclassified	533243	966	0.0288786374021634	18464964	33	W	Falco_cherrug
DNA	205322	1064	0.0024216623394165	84785561	59	Z	Falco_rusticolus
LINE	4651714	8516	0.0548644597633788	84785561	77	Z	Falco_rusticolus
LTR	2195307	3603	0.0258924629867107	84785561	59	Z	Falco_rusticolus
Penelope	2688	13	0.0000317035114033155	84785561	1	Z	Falco_rusticolus
Rolling Circle	637	3	0.00000751307171276487	84785561	1	Z	Falco_rusticolus
SINE	28715	212	0.000338677950128796	84785561	3	Z	Falco_rusticolus
Unclassified	601898	1523	0.00709906253966993	84785561	67	Z	Falco_rusticolus
DNA	166775	525	0.0065185901474798	25584520	46	W	Falco_rusticolus
LINE	1732287	3163	0.0677084033626584	25584520	57	W	Falco_rusticolus
LTR	7019127	6720	0.274350544782548	25584520	155	W	Falco_rusticolus
Other (Simple Repeat, Microsatellite, RNA)	9415	3	0.000367995960057097	25584520	1	W	Falco_rusticolus
Penelope	1158	4	0.0000452617442109526	25584520	1	W	Falco_rusticolus
Rolling Circle	11922	43	0.000465984900244367	25584520	2	W	Falco_rusticolus
SINE	8821	70	0.000344778795928163	25584520	3	W	Falco_rusticolus
Unclassified	997917	1494	0.0390047184782048	25584520	63	W	Falco_rusticolus
DNA	208099	1075	0.00242503695227536	85812713	59	Z	Falco_peregrinus
LINE	4575981	8439	0.0533252106829439	85812713	73	Z	Falco_peregrinus
LTR	2373966	3641	0.027664502344775	85812713	58	Z	Falco_peregrinus
Other (Simple Repeat, Microsatellite, RNA)	4957	125	0.0000577653336749766	85812713	61	Z	Falco_peregrinus
Penelope	2328	11	0.0000271288474471143	85812713	1	Z	Falco_peregrinus
Rolling Circle	637	3	0.00000742314253600163	85812713	1	Z	Falco_peregrinus
SINE	30037	224	0.000350029721120692	85812713	3	Z	Falco_peregrinus
Unclassified	882192	1830	0.010280434788258	85812713	67	Z	Falco_peregrinus
DNA	258405	638	0.00858750390816919	30090816	48	W	Falco_peregrinus
LINE	2112968	3257	0.0702196975980977	30090816	69	W	Falco_peregrinus
LTR	8914958	8952	0.296268402957235	30090816	166	W	Falco_peregrinus
Other (Simple Repeat, Microsatellite, RNA)	2661183	69	0.0884383793380678	30090816	8	W	Falco_peregrinus
Penelope	1477	5	0.0000490847439963077	30090816	1	W	Falco_peregrinus
Rolling Circle	1223	9	0.000040643630269116	30090816	1	W	Falco_peregrinus
SINE	8015	67	0.000266360340643471	30090816	3	W	Falco_peregrinus
Unclassified	1409500	1599	0.0468415346396721	30090816	63	W	Falco_peregrinus
DNA	183384	1124	0.00208326370528257	88027262	58	Z	Cariama_cristata
LINE	7408015	11184	0.0841559175156442	88027262	72	Z	Cariama_cristata
LTR	2713797	3568	0.0308290515726821	88027262	54	Z	Cariama_cristata
Other (Simple Repeat, Microsatellite, RNA)	86	2	0.000000976970066386934	88027262	2	Z	Cariama_cristata
Penelope	3051	14	0.0000346597171226341	88027262	1	Z	Cariama_cristata
Rolling Circle	25371	47	0.000288217529701196	88027262	4	Z	Cariama_cristata
SINE	35139	260	0.00039918315305547	88027262	3	Z	Cariama_cristata
Unclassified	533850	1560	0.00606459848768215	88027262	56	Z	Cariama_cristata
DNA	33525	127	0.00244167101044977	13730351	31	W	Cariama_cristata
LINE	1926196	2155	0.140287455142261	13730351	46	W	Cariama_cristata
LTR	5780645	4242	0.421012179513838	13730351	121	W	Cariama_cristata
Other (Simple Repeat, Microsatellite, RNA)	2134	11	0.000155422101008197	13730351	1	W	Cariama_cristata
Penelope	652	2	0.0000474860402330574	13730351	1	W	Cariama_cristata
SINE	4050	33	0.000294966967705341	13730351	3	W	Cariama_cristata
Unclassified	97641	264	0.00711132585030055	13730351	23	W	Cariama_cristata
DNA	185128	1156	0.00206236830439098	89764762	57	Z	Accipiter_gentilis
LINE	5569686	8795	0.0620475771996143	89764762	70	Z	Accipiter_gentilis
LTR	4770089	5202	0.0531398835547517	89764762	41	Z	Accipiter_gentilis
Penelope	53894	117	0.000600391498837818	89764762	2	Z	Accipiter_gentilis
Rolling Circle	698	5	0.00000777587980459415	89764762	1	Z	Accipiter_gentilis
SINE	47050	342	0.000524147771928588	89764762	4	Z	Accipiter_gentilis
Unclassified	669657	1875	0.00746013229556605	89764762	61	Z	Accipiter_gentilis
DNA	23654	142	0.000593183426163171	39876367	31	W	Accipiter_gentilis
LINE	3979765	4443	0.0998025973629945	39876367	61	W	Accipiter_gentilis
LTR	18541660	13279	0.464978667690565	39876367	211	W	Accipiter_gentilis
Other (Simple Repeat, Microsatellite, RNA)	3640187	4834	0.091286826605844	39876367	1	W	Accipiter_gentilis
Penelope	842	3	0.0000211152635845688	39876367	1	W	Accipiter_gentilis
Rolling Circle	7122	17	0.000178602027611994	39876367	1	W	Accipiter_gentilis
SINE	5334	44	0.00013376343938253	39876367	2	W	Accipiter_gentilis
Unclassified	922545	1978	0.0231351316432613	39876367	77	W	Accipiter_gentilis
DNA	122435	739	0.00168214489101814	72785050	55	Z	Haliaeetus_albicilla
LINE	3754086	6423	0.0515777072352083	72785050	64	Z	Haliaeetus_albicilla
LTR	3920953	4444	0.0538703071578573	72785050	38	Z	Haliaeetus_albicilla
Penelope	1601	8	0.0000219962753340143	72785050	1	Z	Haliaeetus_albicilla
Rolling Circle	719	3	0.00000987840222683092	72785050	1	Z	Haliaeetus_albicilla
SINE	28475	200	0.000391220449803909	72785050	3	Z	Haliaeetus_albicilla
Unclassified	569004	1497	0.00781759440984103	72785050	58	Z	Haliaeetus_albicilla
DNA	80786	495	0.00174195520876973	46376623	45	W	Haliaeetus_albicilla
LINE	3326286	4603	0.0717233335424186	46376623	71	W	Haliaeetus_albicilla
LTR	18294206	15117	0.394470421013621	46376623	187	W	Haliaeetus_albicilla
Other (Simple Repeat, Microsatellite, RNA)	2486186	66	0.0536086036277372	46376623	4	W	Haliaeetus_albicilla
Penelope	1232	6	0.0000265651080286721	46376623	1	W	Haliaeetus_albicilla
Rolling Circle	185	1	0.00000398907872183794	46376623	1	W	Haliaeetus_albicilla
SINE	17624	138	0.000380019045371199	46376623	3	W	Haliaeetus_albicilla
